source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/jk-rowlings-anti-trans-tweets-become-ammo-right-wing-media-attacks-trans-folks
https://www.mediamatters.org/	https://www.mediamatters.org/trumprussia/fox-news-why-trump-thinks-he-can-get-away-nixonian-corruption-barrs-doj
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/heres-data-facebooks-bias-report-doesnt-show-you
https://www.mediamatters.org/	https://www.mediamatters.org/joe-scarborough/joe-scarborough-conspiracy-theory-donald-trump-sending-mob-boss-message
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-compares-stock-market-performance-after-high-profile-cases-police-brutality-and
https://www.mediamatters.org/	https://www.mediamatters.org/planned-parenthood/right-wing-figures-dishonestly-attack-planned-parenthood-over-coronavirus
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_dp2_BX4jM3yu0fb9cQUa-Y4KB3GBwGxmcgFNwoNKn5A.css
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-contributor-dan-bongino-former-nratv-host-and-infowars-favorite-set-testify
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/after-trumps-approval-oan-advances-its-attacks-elderly-buffalo-protester
https://www.mediamatters.org/	https://www.mediamatters.org/national-rifle-association/nra-board-member-shares-extremist-militia-branded-meme-blames-shootings
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/how-fox-news-pushed-propaganda-about-el-paso-mass-shooting
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/trump-promotes-unhinged-oan-conspiracy-theory-about-battered-75-year-old
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/after-his-bigoted-rants-about-police-brutality-marches-tucker-carlson-has-lost-four
https://www.mediamatters.org/	https://www.mediamatters.org/voter-fraud-and-suppression/network-news-cover-georgia-election-meltdown-mixed-results
